hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,2,0.05,30,179.72998,128.85469,-0.04208028316497803,21.954821348190308,"[19.91644787788391, 22.872588634490967, 22.3147189617157, 22.101675271987915, 22.568675994873047]","[118608.91975582739, 35861.88385889312, 35867.79383670191, 35864.524815255376, 35867.58277579895]"
32,2,0.01,30,180.76833,128.49167,-0.05709940195083618,22.678551340103148,"[22.836837768554688, 22.85421061515808, 22.486511945724487, 22.366414785385132, 22.84878158569336]","[379795.62953819043, 35863.84670367512, 35847.002588663556, 35847.884420869654, 35851.27890914184]"
32,2,0.005,30,180.9599,128.47755,-0.05997949838638306,20.283049901326496,"[21.751078844070435, 22.003862619400024, 20.42482900619507, 19.089133262634277, 19.58651828765869, 18.84287738800049]","[668057.0869034013, 65912.36881439343, 35847.93840166783, 35846.02335314355, 35847.89999216404, 35847.29528715309]"
32,2,0.001,30,180.78098,128.56789,-0.05748546123504639,19.452357617291536,"[19.482630252838135, 19.449077367782593, 19.482200622558594, 19.23296880722046, 19.081522226333618, 19.067635536193848, 19.235474824905396, 19.497122287750244, 20.062006950378418, 19.83427858352661, 19.551016330718994]","[1249384.4742852757, 852299.1510644105, 560886.7472238332, 348342.2201487445, 193377.62674096785, 93283.38697035344, 45275.77977716038, 35941.04592935487, 35844.632827292364, 35844.54009383422, 35852.533155149766]"
32,2,0.0005,30,180.84636,128.55307,-0.05849349498748779,19.16749456193712,"[19.448050260543823, 19.31582260131836, 18.83222484588623, 18.998493671417236, 19.13198709487915, 19.199488401412964, 19.582553386688232, 19.14866304397583, 19.497576475143433, 19.566978454589844, 19.11895251274109, 18.958428621292114, 18.937192916870117, 18.965340852737427, 18.949479341506958, 18.9405038356781, 19.207165718078613, 19.216000080108643]","[1363795.1905704148, 1134227.276473799, 933707.4253121589, 761221.92578125, 615931.092641239, 493460.67663840746, 387045.1593886463, 294937.8956762589, 217148.26166970865, 153564.17863097877, 104119.94641113281, 68576.01704666603, 46650.40355405849, 37269.213342525036, 35858.548620498856, 35847.66636144646, 35844.56197613712, 35842.08888211313]"
32,2,0.0001,30,631.8397,484.3947,-9.123797416687012,19.703106427192687,"[19.49938154220581, 19.201315879821777, 19.180873155593872, 19.182064533233643, 19.132631540298462, 18.781413793563843, 18.868227005004883, 19.63622736930847, 20.395936965942383, 20.06272530555725, 19.97156023979187, 19.790640830993652, 19.477275371551514, 19.432848930358887, 19.607311248779297, 20.353333473205566, 19.693456649780273, 19.66115093231201, 19.458106517791748, 19.638940572738647, 20.233956575393677, 20.13303232192993, 19.93331289291382, 19.92786741256714, 19.51245903968811, 19.710238218307495, 20.100911140441895, 20.16532254219055, 20.368654489517212, 19.98201632499695]","[1465114.5693913756, 1413396.2133938319, 1363493.3694732534, 1314770.9869848527, 1267243.5793702237, 1220830.0000341157, 1175629.3381976665, 1131557.4109579695, 1088646.4816628003, 1046915.3284576283, 1006350.493663005, 966927.3240396425, 928669.9666348253, 891588.9288175491, 855666.7665887692, 820864.4365959334, 787226.4711978029, 754775.2053681086, 723445.572632369, 693313.68957253, 664272.2911009144, 636321.9478583856, 609526.1580282819, 583671.8961943914, 558626.3439461654, 534262.8225300219, 510503.720575191, 487344.6272473731, 464748.1562969091, 442746.9082756209]"
32,2,5e-05,30,895.42957,728.8825,-19.65358543395996,18.75338815053304,"[18.93422770500183, 18.869794845581055, 18.85668921470642, 18.83553695678711, 18.78461503982544, 18.798407316207886, 18.821859121322632, 18.821743488311768, 18.755810022354126, 18.771913766860962, 18.71428346633911, 18.68520975112915, 18.70597195625305, 18.71905255317688, 18.71605372428894, 18.716418266296387, 18.689170360565186, 18.720391511917114, 18.732138872146606, 18.70836305618286, 18.746432542800903, 18.71569037437439, 18.730743646621704, 18.82469415664673, 18.676718950271606, 18.69251847267151, 18.784897089004517, 18.68497395515442, 18.686014890670776, 18.70130944252014]","[1478892.416621179, 1452116.3935930678, 1426563.7500341157, 1401299.0160514466, 1376318.9010302948, 1351638.025501501, 1327216.1063557588, 1303132.7712029202, 1279325.8160992085, 1255790.8369439137, 1232578.5711142195, 1209616.7294026338, 1186990.9758204832, 1164641.6174007233, 1142567.916638237, 1120818.3739765284, 1099327.493645947, 1078150.4766051446, 1057249.0153009007, 1036647.4623703603, 1016334.9190604531, 996316.8248157752, 976571.7119183269, 957165.7920220387, 938020.9100112582, 919160.3935077784, 900599.8901729668, 882349.8738571233, 864372.6303646971, 846699.030516512]"
32,2,1e-05,30,1197.5785,1077.7958,-38.30231475830078,18.701092624664305,"[18.698757648468018, 18.703776597976685, 18.741250038146973, 18.696171283721924, 18.665507555007935]","[1492732.312380595, 1484982.8314001092, 1479555.6320278384, 1474327.1305608624, 1469132.164181905]"
32,3,0.05,30,180.15381,129.48874,-0.05034726858139038,20.40073118209839,"[20.420135736465454, 20.33750057220459, 20.391274213790894, 20.399619102478027, 20.45512628555298]","[135301.87909322014, 35859.94523467351, 35862.677886296566, 35861.44087865571, 35860.09566980887]"
32,3,0.01,30,180.81216,128.5411,-0.05787336826324463,20.39397611618042,"[20.390059232711792, 20.423492431640625, 20.39272451400757, 20.34181523323059, 20.421789169311523]","[380493.47176311107, 35862.745338406625, 35847.126554930575, 35845.87176033919, 35846.1442479296]"
32,3,0.005,30,181.08446,128.22292,-0.061064064502716064,20.431255618731182,"[20.533868312835693, 20.42182445526123, 20.42061948776245, 20.39665126800537, 20.406259775161743, 20.408310413360596]","[668260.6350833277, 66000.58890903257, 35849.611721655165, 35847.55858615392, 35844.283741780244, 35844.83708837251]"
32,3,0.001,30,180.85994,128.41664,-0.058293163776397705,20.397576115348123,"[20.33121109008789, 20.382939338684082, 20.383377075195312, 20.39260745048523, 20.38390326499939, 20.417292833328247, 20.38047695159912, 20.3941867351532, 20.506840705871582, 20.424662828445435, 20.37583899497986]","[1249456.7070483079, 852419.2274580377, 560890.3964332014, 348372.78963393834, 193417.54651145436, 93298.55157923803, 45267.57382828492, 35947.41731761949, 35854.83899585441, 35843.888028873625, 35848.68188916335]"
32,3,0.0005,30,180.83064,128.61082,-0.05840867757797241,20.429307182629902,"[20.482447624206543, 20.4197678565979, 20.450355052947998, 20.448256731033325, 20.506226301193237, 20.56068253517151, 20.405059814453125, 20.375973224639893, 20.45740270614624, 20.419615983963013, 20.36988115310669, 20.40570592880249, 20.37625503540039, 20.3875150680542, 20.48128628730774, 20.361380338668823, 20.37636089324951, 20.44335675239563]","[1363918.3203466157, 1134312.6136735808, 933713.179320756, 761136.1336824509, 615760.2069331673, 493304.8705820142, 386912.78470848117, 294831.7507484136, 217082.84643661298, 153504.34048235364, 104039.35834726391, 68542.29838515368, 46645.46581524845, 37281.00275631034, 35859.37233684157, 35841.13607581526, 35841.13186272367, 35841.37662989188]"
32,3,0.0001,30,631.83044,484.3874,-9.123598098754883,20.414585741360984,"[20.38395380973816, 20.412701845169067, 20.55303716659546, 20.4316189289093, 20.38018226623535, 20.482038736343384, 20.37055802345276, 20.341074466705322, 20.501265048980713, 20.382365703582764, 20.401703357696533, 20.453302145004272, 20.390751838684082, 20.447803735733032, 20.395180463790894, 20.351084232330322, 20.342652082443237, 20.464954614639282, 20.38792324066162, 20.384398460388184, 20.447571754455566, 20.337671518325806, 20.355175971984863, 20.43506932258606, 20.33736801147461, 20.416390895843506, 20.43407678604126, 20.554394006729126, 20.372387886047363, 20.48891592025757]","[1464021.9291416486, 1412481.5673956058, 1362643.4615174672, 1313974.7329250819, 1266459.5536299127, 1220073.0210408706, 1174931.0873703603, 1130883.5042218205, 1088065.6186033024, 1046351.0799757779, 1005806.1018354257, 966398.4144377729, 928226.0371008461, 891180.0367341021, 855264.2284644514, 820547.5533143423, 786960.0387554585, 754563.0180131005, 723270.7061271834, 693127.6365311135, 664122.1018951283, 636243.7453133529, 609479.8345046397, 583639.9915990038, 558624.3750724959, 534255.9405192413, 510509.0622569255, 487337.31989458244, 464744.2649341567, 442746.62578892603]"
